date,EMA
1999-11-29,0.0629
1999-11-30,0.0632
1999-12-01,0.0638
1999-12-02,0.0648
1999-12-03,0.0656
1999-12-06,0.0665
1999-12-07,0.0671
1999-12-08,0.0679
1999-12-09,0.0684
1999-12-10,0.0688
1999-12-13,0.0691
1999-12-14,0.0693
1999-12-15,0.0693
1999-12-16,0.0692
1999-12-17,0.0694
1999-12-20,0.0702
1999-12-21,0.0713
1999-12-22,0.0724
1999-12-23,0.074
1999-12-27,0.075
1999-12-28,0.076
1999-12-29,0.0771
1999-12-30,0.0782
1999-12-31,0.0793
2000-01-03,0.0803
2000-01-04,0.0809
2000-01-05,0.0813
2000-01-06,0.081
2000-01-07,0.0809
2000-01-10,0.0811
2000-01-11,0.0809
2000-01-12,0.0806
2000-01-13,0.0806
2000-01-14,0.0809
2000-01-18,0.0815
2000-01-19,0.082
2000-01-20,0.0824
2000-01-21,0.0827
2000-01-24,0.0826
2000-01-25,0.0825
2000-01-26,0.082
2000-01-27,0.0812
2000-01-28,0.0803
2000-01-31,0.0794
2000-02-01,0.0787
2000-02-02,0.0783
2000-02-03,0.0781
2000-02-04,0.078
2000-02-07,0.0775
2000-02-08,0.0774
2000-02-09,0.0775
2000-02-10,0.0791
2000-02-11,0.0806
2000-02-14,0.0835
2000-02-15,0.0857
2000-02-16,0.0881
2000-02-17,0.0907
2000-02-18,0.0944
2000-02-22,0.0973
2000-02-23,0.1
2000-02-24,0.1024
2000-02-25,0.1038
2000-02-28,0.1049
2000-02-29,0.1066
2000-03-01,0.1077
2000-03-02,0.108
2000-03-03,0.1085
2000-03-06,0.1088
2000-03-07,0.1136
2000-03-08,0.1181
2000-03-09,0.1251
2000-03-10,0.1346
2000-03-13,0.149
2000-03-14,0.1548
2000-03-15,0.1593
2000-03-16,0.1613
2000-03-17,0.1641
2000-03-20,0.1666
2000-03-21,0.168
2000-03-22,0.1694
2000-03-23,0.171
2000-03-24,0.1717
2000-03-27,0.1712
2000-03-28,0.1695
2000-03-29,0.1671
2000-03-30,0.1648
2000-03-31,0.1645
2000-04-03,0.163
2000-04-04,0.1611
2000-04-05,0.1624
2000-04-06,0.1644
2000-04-07,0.1675
2000-04-10,0.1685
2000-04-11,0.1685
2000-04-12,0.1668
2000-04-13,0.1646
2000-04-14,0.1615
2000-04-17,0.1593
2000-04-18,0.1596
2000-04-19,0.1591
2000-04-20,0.1587
2000-04-24,0.1575
2000-04-25,0.158
2000-04-26,0.1582
2000-04-27,0.1597
2000-04-28,0.1607
2000-05-01,0.1622
2000-05-02,0.1628
2000-05-03,0.1632
2000-05-04,0.1636
2000-05-05,0.1648
2000-05-08,0.1653
2000-05-09,0.1655
2000-05-10,0.1641
2000-05-11,0.1634
2000-05-12,0.1624
2000-05-15,0.1624
2000-05-16,0.1641
2000-05-17,0.1685
2000-05-18,0.1712
2000-05-19,0.1735
2000-05-22,0.1768
2000-05-23,0.1796
2000-05-24,0.1819
2000-05-25,0.1837
2000-05-26,0.1854
2000-05-30,0.1877
2000-05-31,0.1904
2000-06-01,0.1936
2000-06-02,0.1991
2000-06-05,0.2046
2000-06-06,0.2084
2000-06-07,0.2107
2000-06-08,0.213
2000-06-09,0.2157
2000-06-12,0.2176
2000-06-13,0.22
2000-06-14,0.2221
2000-06-15,0.2246
2000-06-16,0.2305
2000-06-19,0.2375
2000-06-20,0.2435
2000-06-21,0.2517
2000-06-22,0.2575
2000-06-23,0.26
2000-06-26,0.2654
2000-06-27,0.2661
2000-06-28,0.2657
2000-06-29,0.2617
2000-06-30,0.2599
2000-07-03,0.2574
2000-07-05,0.2528
2000-07-06,0.2497
2000-07-07,0.2471
2000-07-10,0.2459
2000-07-11,0.2465
2000-07-12,0.2478
2000-07-13,0.2513
2000-07-14,0.2542
2000-07-17,0.2566
2000-07-18,0.2582
2000-07-19,0.258
2000-07-20,0.2585
2000-07-21,0.2592
2000-07-24,0.2572
2000-07-25,0.255
2000-07-26,0.2514
2000-07-27,0.2467
2000-07-28,0.2429
2000-07-31,0.2416
2000-08-01,0.24
2000-08-02,0.239
2000-08-03,0.239
2000-08-04,0.2394
2000-08-07,0.2417
2000-08-08,0.2431
2000-08-09,0.2437
2000-08-10,0.2445
2000-08-11,0.2447
2000-08-14,0.2451
2000-08-15,0.2477
2000-08-16,0.2506
2000-08-17,0.2539
2000-08-18,0.2577
2000-08-21,0.2616
2000-08-22,0.2625
2000-08-23,0.2648
2000-08-24,0.2676
2000-08-25,0.2694
2000-08-28,0.2721
2000-08-29,0.2745
2000-08-30,0.277
2000-08-31,0.2795
2000-09-01,0.2818
2000-09-05,0.2839
2000-09-06,0.2839
2000-09-07,0.2853
2000-09-08,0.2849
2000-09-11,0.2834
2000-09-12,0.2819
2000-09-13,0.2806
2000-09-14,0.2791
2000-09-15,0.2783
2000-09-18,0.2761
2000-09-19,0.2749
2000-09-20,0.2729
2000-09-21,0.2722
2000-09-22,0.272
