date,SMA
1999-11-29,0.0629
1999-11-30,0.064
1999-12-01,0.065
1999-12-02,0.0662
1999-12-03,0.067
1999-12-06,0.0681
1999-12-07,0.0689
1999-12-08,0.0699
1999-12-09,0.0709
1999-12-10,0.0716
1999-12-13,0.0722
1999-12-14,0.0727
1999-12-15,0.0729
1999-12-16,0.0729
1999-12-17,0.0731
1999-12-20,0.0729
1999-12-21,0.0728
1999-12-22,0.0732
1999-12-23,0.0739
1999-12-27,0.0745
1999-12-28,0.0753
1999-12-29,0.0764
1999-12-30,0.0773
1999-12-31,0.0781
2000-01-03,0.0789
2000-01-04,0.0795
2000-01-05,0.0801
2000-01-06,0.0803
2000-01-07,0.0806
2000-01-10,0.0811
2000-01-11,0.0815
2000-01-12,0.0818
2000-01-13,0.0824
2000-01-14,0.0831
2000-01-18,0.0839
2000-01-19,0.0844
2000-01-20,0.0846
2000-01-21,0.0847
2000-01-24,0.0844
2000-01-25,0.0842
2000-01-26,0.0838
2000-01-27,0.0831
2000-01-28,0.0822
2000-01-31,0.0813
2000-02-01,0.0804
2000-02-02,0.0798
2000-02-03,0.0794
2000-02-04,0.0793
2000-02-07,0.079
2000-02-08,0.0786
2000-02-09,0.0786
2000-02-10,0.0794
2000-02-11,0.0802
2000-02-14,0.0815
2000-02-15,0.0825
2000-02-16,0.0837
2000-02-17,0.0851
2000-02-18,0.0873
2000-02-22,0.0895
2000-02-23,0.0917
2000-02-24,0.0941
2000-02-25,0.0963
2000-02-28,0.0985
2000-02-29,0.1011
2000-03-01,0.1034
2000-03-02,0.1052
2000-03-03,0.107
2000-03-06,0.1087
2000-03-07,0.1131
2000-03-08,0.1173
2000-03-09,0.123
2000-03-10,0.1295
2000-03-13,0.139
2000-03-14,0.144
2000-03-15,0.1487
2000-03-16,0.1522
2000-03-17,0.156
2000-03-20,0.159
2000-03-21,0.1619
2000-03-22,0.1647
2000-03-23,0.1678
2000-03-24,0.1708
2000-03-27,0.1733
2000-03-28,0.1749
2000-03-29,0.1762
2000-03-30,0.1778
2000-03-31,0.1802
2000-04-03,0.1821
2000-04-04,0.1813
2000-04-05,0.182
2000-04-06,0.1816
2000-04-07,0.1801
2000-04-10,0.1748
2000-04-11,0.1727
2000-04-12,0.1701
2000-04-13,0.1683
2000-04-14,0.1654
2000-04-17,0.1627
2000-04-18,0.1618
2000-04-19,0.1604
2000-04-20,0.1588
2000-04-24,0.1572
2000-04-25,0.157
2000-04-26,0.1574
2000-04-27,0.1589
2000-04-28,0.1603
2000-05-01,0.161
2000-05-02,0.162
2000-05-03,0.1631
2000-05-04,0.1628
2000-05-05,0.1624
2000-05-08,0.1611
2000-05-09,0.1605
2000-05-10,0.1597
2000-05-11,0.16
2000-05-12,0.1604
2000-05-15,0.162
2000-05-16,0.164
2000-05-17,0.1665
2000-05-18,0.1686
2000-05-19,0.1706
2000-05-22,0.1737
2000-05-23,0.1759
2000-05-24,0.178
2000-05-25,0.1794
2000-05-26,0.1809
2000-05-30,0.1826
2000-05-31,0.185
2000-06-01,0.1878
2000-06-02,0.192
2000-06-05,0.196
2000-06-06,0.1998
2000-06-07,0.2031
2000-06-08,0.2073
2000-06-09,0.2115
2000-06-12,0.2156
2000-06-13,0.2196
2000-06-14,0.2227
2000-06-15,0.2246
2000-06-16,0.2291
2000-06-19,0.2345
2000-06-20,0.2391
2000-06-21,0.2454
2000-06-22,0.2508
2000-06-23,0.2549
2000-06-26,0.2607
2000-06-27,0.2638
2000-06-28,0.2661
2000-06-29,0.2661
2000-06-30,0.2657
2000-07-03,0.2645
2000-07-05,0.2628
2000-07-06,0.2622
2000-07-07,0.2615
2000-07-10,0.2611
2000-07-11,0.262
2000-07-12,0.2629
2000-07-13,0.265
